"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"119","0.091670","0.027755","0.008403","0.318310","0.318310","0.017825","0.007386","0.017824","0.040999","0.009421","0.007386","0.017825","0.007386","0.001018"
"120","0.091287","0.027581","0.008333","0.318310","0.318310","0.015023","0.001643","0.015023","0.034977","0.006690","0.001643","0.023357","0.009977","0.001643"
"121","0.090909","0.027410","0.008264","0.318310","0.318310","0.020533","0.004260","0.012269","0.029054","0.012269","0.004260","0.020533","0.012525","0.004004"
"122","0.090536","0.027241","0.008197","0.318310","0.318310","0.017756","0.001362","0.009559","0.031425","0.009559","0.006835","0.017756","0.015031","0.001362"
"123","0.090167","0.027075","0.008130","0.318310","0.318310","0.015023","0.001237","0.015023","0.025627","0.006893","0.009367","0.015023","0.009367","0.001237"
"124","0.089803","0.026911","0.008065","0.318310","0.318310","0.012335","0.003794","0.012335","0.027987","0.004271","0.003794","0.012335","0.003794","0.003794"
"125","0.089443","0.026750","0.008000","0.318310","0.318310","0.017690","0.006310","0.009690","0.022310","0.009690","0.006310","0.017690","0.006310","0.001690"
"126","0.089087","0.026590","0.007937","0.318310","0.318310","0.015023","0.000850","0.007087","0.024659","0.007087","0.008786","0.015023","0.008786","0.000850"
"127","0.088736","0.026433","0.007874","0.318310","0.318310","0.012399","0.004525","0.012399","0.026971","0.004525","0.003349","0.012399","0.003349","0.003349"
"128","0.088388","0.026278","0.007813","0.318310","0.318310","0.009815","0.002003","0.009815","0.029247","0.002003","0.002003","0.009815","0.005810","0.005810"
"129","0.088045","0.026125","0.007752","0.318310","0.318310","0.015023","0.000481","0.007271","0.031488","0.007272","0.000480","0.007271","0.008233","0.008232"
"130","0.087706","0.025974","0.007692","0.318310","0.318310","0.012459","0.004767","0.004767","0.026002","0.004767","0.002925","0.004767","0.010618","0.002925"
"131","0.087370","0.025825","0.007634","0.318310","0.318310","0.009934","0.002301","0.009934","0.028234","0.009934","0.002301","0.002301","0.005333","0.005333"
"132","0.087039","0.025678","0.007576","0.318310","0.318310","0.007448","0.000128","0.007448","0.022855","0.007448","0.000128","0.007448","0.000128","0.007704"
"133","0.086711","0.025534","0.007519","0.318310","0.318310","0.012517","0.004998","0.004998","0.025077","0.012517","0.002520","0.012517","0.004998","0.002521"
"134","0.086387","0.025391","0.007463","0.318310","0.318310","0.010048","0.002586","0.002586","0.027265","0.010048","0.004877","0.017511","0.002586","0.002586"
"135","0.086066","0.025249","0.007407","0.318310","0.318310","0.007616","0.000209","0.007616","0.029421","0.007616","0.000209","0.015023","0.000209","0.000209"
